name,lat,lon
Eastern Ave / Winnifred Ave,43.6592088,-79.3348396
Morse St / Eastern Ave,43.657991,-79.340075
Alton Ave / Dundas St E (Greenwood Park),43.66745,-79.329408
Cherry Beach,43.637764,-79.345359
Cherry Beach Sports Field (55 Unwin Ave),43.6408346,-79.3429074
Logan Av / Gerrard St E,43.6672144,-79.3452697
Regal Rd / Dufferin St,43.673939,-79.441159
Pape Ave / Gamble Ave,43.690237,-79.350119
Gamble Ave / Broadview Ave,43.689211,-79.35438
Broadview Ave / Westwood Ave,43.6848652,-79.356602
Pretoria Ave / Broadview Ave,43.6783213,-79.35822
Cosburn Ave / Donlands Ave,43.690537,-79.341307
Fulton Ave / Pape Ave,43.68395,-79.347046
Tommy Thompson Park (Leslie Street Spit),43.65222662225532,-79.32295440954084
Beltline Trail / Chaplin Cres.,43.704461,-79.423122
King St E / Berkeley St,43.651885,-79.3649
Lake Shore Blvd E / Leslie St,43.659195,-79.329196
Rosedale Park (20 Scholfield Ave),43.682645,-79.377557
Concord Ave / Dewson St,43.656945,-79.424911
Hocken Ave / Vaughan Rd,43.6817346,-79.4184725
St Clair Ave W / Bathurst St.,43.683296,-79.418734
Wells Hill Ave / St Clair Ave W,43.683351,-79.41562
Queen St E / Nursewood Rd,43.673831,-79.281455
Kewbeach Ave / Kenilworth Ave,43.666325,-79.3014
Fort York Blvd / Bathurst St SMART,43.639052,-79.399792
Alma Ave / Gladstone Ave SMART,43.6448617,-79.42822
Lisgar St / Dundas St W - SMART,43.6493472,-79.42668
Eglinton Ave W / Henning Ave SMART,43.7063473,-79.40161
George St / King St E,43.6509552,-79.3707
Frederick St / The Esplanade,43.6487245,-79.36839
Front St E / Scott St,43.6476616,-79.37549
Frobisher Ave / Lascelles Blvd,43.696708,-79.40045
Balliol St / Yonge St  SMART,43.6978701,-79.39419
Yonge St / Davisville Ave,43.6975969,-79.39654
Lawton Blvd / Yonge St,43.6910667,-79.39535
Erskine Ave / Yonge St SMART,43.7112153,-79.39894
Yonge St / Orchard View Blvd,43.7083577,-79.39886200000001
12 Harbour St,43.6425636,-79.3762
Cumberland Ave / Bay St SMART,43.6704537,-79.39014
20 Charles St E,43.6691099,-79.38551
D'Arcy St / McCaul St - SMART,43.655227,-79.39201
Mortimer Ave / Carlaw Ave SMART,43.685167,-79.34962
Broadview Subway Station,43.6772,-79.35858
College Park - Gerrard Entrance,43.658938,-79.383518
Yonge St / Dundas Sq,43.655766,-79.3802
Dentonia Park,43.694341,-79.291416
York St / Lake Shore Blvd W,43.641952,-79.380723
Lower Jarvis / Queens Quay E,43.64422,-79.36927
Polson Pier,43.641675,-79.354006
Lascelles Blvd / Eglinton Ave W,43.70547,-79.40355
Roehampton Ave / Mount Pleasant Rd,43.70942,-79.39139
Victoria St / Queen St E,43.652822,-79.378208
University Ave / Armoury St,43.65263,-79.38766
Isabella St / Church St,43.66834,-79.38235
Howard St / Rose Ave,43.671278,-79.372127
Little Norway Park,43.635023,-79.399505
King St W / Crawford St,43.6417852,-79.4131148
Keele St / Annette St,43.66402,-79.46418
Keele St / Vine Ave,43.66686,-79.46526
Spadina Ave / Blue Jays Way,43.641705,-79.393295
King St W / Jordan St,43.648928,-79.378623
College Park - Yonge St Entrance,43.65988,-79.38279
Bloor St W / Huron St,43.667023,-79.401805
Barton Ave / Howland Ave - SMART,43.66842,-79.410585
Tyndall Ave / King St W - SMART,43.638426,-79.429142
Merton St / Mount Pleasant Rd,43.697819,-79.38786
The Queensway at South Kingsway,43.63632,-79.47307
Northern Dancer Blvd / Lake Shore Blvd E,43.663162,-79.309765
Woodbine Ave / Lake Shore Blvd E,43.665645,-79.304711
Woodbine Subway Station,43.686442,-79.313404
Marilyn Bell Park Tennis Court,43.633537,-79.437461
Gerrard St E / Leslie St,43.669813,-79.3335
Frederick St / King St E,43.651118,-79.369411
Dundas St E / Boulton Ave - SMART,43.663148,-79.347938
Via Italia / Mackay Ave,43.676697,-79.445029
Rushton Rd / St Clair Ave W,43.68114,-79.4277
Concord Ave / Bloor St W,43.66189,-79.42679
Gothic Ave / Quebec Ave,43.65389,-79.4675
Martin Goodman Trail / Remembrance Dr,43.63121,-79.41414
Pacific Ave / Glenlake Ave,43.65716,-79.46478
Lonsdale Rd / Spadina Rd,43.688526,-79.412903
Dundas St E / George St,43.6574766,-79.373446
Clendenan Ave / Rowland St - SMART,43.66073,-79.47149
Eastwood Rd / Coxwell Ave,43.673118,-79.318651
Orchard Park,43.66908,-79.3149
Trent Ave / Danforth Ave,43.689293,-79.295895
Goodwood Park Ct / Dentonia Park,43.694826,-79.295208
Cosburn Ave / Cedarvale Ave,43.697139,-79.31469
Carlaw Ave / Danforth Ave,43.678285,-79.347346
Western Battery Rd / Pirandello St,43.640075,-79.414156
Bleecker St / St James Ave,43.669232,-79.374495
Jarvis St / Maitland Pl,43.6647688,-79.3772602
Pottery Rd / Lower Don River Trail,43.688148,-79.362101
E.T. Seton Park (Eglinton Ave E / Leslie St),43.715951,-79.351246
Queen's Park Cres W / Hoskin Ave,43.665221,-79.394009
Church St / Lombard St,43.651678,-79.375233
St Clair Ave W / Winona Dr,43.680466,-79.432522
High Park Outdoor Pool,43.649217,-79.465319
High Park Amphitheatre,43.645653,-79.464366
Richmond St E / Yonge St,43.651838,-79.378743
Russell Hill Rd / St Clair Ave W,43.685569,-79.408019
Glendonwynne Ave / Bloor St W,43.65182,-79.47421
Lower Simcoe St / Bremner Blvd,43.64283,-79.38409
Front St W / Simcoe St,43.6442,-79.38702
Wellington St W / York St,43.646734,-79.38301
Lake Shore Blvd W / Louisa St,43.61868,-79.48674
Adelaide St W / Strachan Ave,43.643253094827294,-79.41230469904167
Clarence Square,43.64407,-79.3929
Jarvis St / Richmond St E,43.652777,-79.372637
Symington Ave / Dupont St,43.665538,-79.451263
Antler St / Campbell Ave - SMART,43.664182,-79.449066
Ellis Ave / The Queensway,43.63855,-79.46693
